Contact ID (anonymised donor),Categories the donor contributed to,Total donation amount,No. of donations made
16,"Children,Family,Fundraising,Medical,Migrant Workers",300,10
18,"Children,Elderly,Food,Medical",120,4
19,"Children,Elderly,Food,Medical",132,4
21,"Children,Elderly,Food,Medical",1064,8
24,"Children,Elderly,Food,Medical",120,4
34,"Children,Elderly,Food,Medical",440,4
49,"Children,Elderly,Food,Fundraising,Living Expenses,Medical",600,6
61,"Accident,Elderly,Food,Medical,Private Campaign",274,5
70,"Caregivers,Children,Elderly,Families,Family,Food,Fundraising,Giving Circle,Individual,Medical,Migrant Workers,New Start,Ray of Hope 10th Anniversary,Single Parents,Special Needs,Student,Women",35111.8,136
94,"Accident,Elderly,Family,Food,Fundraising,Single Parents",300,6
115,"Children,COVID-19,Family,Medical,Migrant Workers",1500,15
135,"Fundraising,Private Campaign,Ray of Hope 10th Anniversary,TMT",58810,20
156,"Children,Medical,Private Campaign",60,3
166,"Children,Hope Beyond Borders,Medical,Migrant Workers,Thematic Campaign",1100,10
169,"Children,Medical,Private Campaign",150,3
171,"Children,Family,Medical,Private Campaign,Special Needs",3500,15
172,"Children,Elderly,Hope Beyond Borders,Migrant Workers,Private Campaign,Single Parents,Thematic Campaign",7418.6,14
174,"Children,COVID-19,Family,Living Expenses,Medical,Private Campaign",1296,6
182,"Elderly,Food,Special Needs",648,3
191,"Elderly,Food,Thematic Campaign",210,3
196,"Children,Elderly,Food,Medical",204,4
214,"Children,COVID-19,Elderly,Family,Fundraising,Individual,Medical,Migrant Workers,Persons with aphasia,Private Campaign,Raya For Hope,Single Parents,Special Needs,Student,Test Email Tag,Tuition Fees",116464,288
225,"Children,Elderly,Family,Food,Foreign Domestic Workers,Hongbao for Hope,Hope Beyond Borders,Medical,Migrant Workers,Single Parents,Thematic Campaign",5500,11
226,"Children,Hongbao for Hope,Medical,Thematic Campaign",200,4
233,"Children,COVID-19,Elderly,Families,Family,Giving Circle,Individual,Living Expenses,Raya For Hope,Single Parents,Special Needs,Student,Thematic Campaign,Transport",24360,28
234,"Children,COVID-19,Elderly,Family,Food,Foreign Domestic Workers,Fundraising,Living Expenses,Medical,Single Parents,Special Needs,Women",2520,12
237,"Accident,An Evening in December,Birthday Pledge,Charities,Elderly,Families,Family,Homeless,Migrant Workers,New Start,Private Campaign,Single Parents,Test Email Tag",6849.7,117
238,",Charities,Children,Children of drug offenders,COVID-19,Education,Elderly,Family,Fundraising,Giving Circle,Homeless,Individual,Medical,Migrant Workers,Private Campaign,Ray of Hope 10th Anniversary,Raya For Hope,Registered society,Single Parents,Student,Thematic Campaign",15624,315
239,",Accident,Children,COVID-19,Elderly,Family,Food,Foreign Domestic Workers,Hongbao for Hope,Lights for Hope,Medical,Migrant Workers,Single Parents,Special Needs,Thematic Campaign,Women",29981.6,208
248,",Accident,Birthday Pledge,Children,Children of drug offenders,COVID-19,Elderly,Families,Family,Food,Foreign Domestic Workers,Fundraising,Giving Circle,Help Save Singaporeâ€™s Hardest Hit Families,Homeless,Hongbao for Hope,Hope Beyond Borders,Individual,Living Expenses,Medical,Migrant Workers,New Start,Private Campaign,Raya For Hope,Single Parents,Special Needs,Student,Thematic Campaign,Transport,Tuition Fees,Women,Zhiwen Birthday",12764906.24,3360
254,"Children,COVID-19,Elderly,Family,Giving Circle,Lights for Hope,Living Expenses,Migrant Workers,New Start,Single Parents,Special Needs,Student,Thematic Campaign,Transport,Tuition Fees",16200,15
259,"Birthday Pledge,Migrant Workers,Private Campaign",329.4,3
265,"Accident,Children,COVID-19,Elderly,Family,Food,Foreign Domestic Workers,Fundraising,Giving Circle,Medical,Migrant Workers,Private Campaign,Single Parents",1401.4,26
277,"Elderly,Private Campaign",408.2,2
279,"Children,COVID-19,Elderly,Family,Food,Fundraising,Hope Beyond Borders,Living Expenses,Medical,Migrant Workers,Private Campaign,Ray of Hope 10th Anniversary,Single Parents,Special Needs,Thematic Campaign,Women",14664,64
281,"Children,Fundraising,Medical,Private Campaign,Ray of Hope 10th Anniversary",11940,10
287,"Children,COVID-19,Family,Fundraising,Giving Circle,Giving Week,Living Expenses,Medical,Migrant Workers,Special Needs",2000,20
290,"Children,Elderly,Family,Women",131.2,4
296,"Children,COVID-19,Family,Food,Raya For Hope,Single Parents,Thematic Campaign",2238.6,14
297,"Elderly,Migrant Workers,Single Parents,Women",210,4
299,"Children,Family,Medical,Transport",88,4
310,"Children,Elderly,Food,Medical,Migrant Workers,Single Parents",64.8,6
324,"Amputees,Children,Elderly,Family,Food,Foreign Domestic Workers,Giving Circle,Homeless,Individual,Medical,Migrant Workers,New Start,Single Parents,Special Needs,Student,Tuition Fees,Women",19550,68
325,"Children,Family,Food,Lights for Hope,Migrant Workers,Single Parents,Thematic Campaign",768.6,7
330,"Birthday Pledge,Giving Circle,Private Campaign,Women",848,8
333,"Children,COVID-19,Family,Individual,Migrant Workers,Single Parents,Student",21830.2,21
336,"Accident,COVID-19,Fundraising,Medical,Migrant Workers,Private Campaign",1530,12
337,"Children,Education,Elderly,Family,Fundraising,Giving Circle,Homeless,Private Campaign,Ray of Hope 10th Anniversary,Single Parents,Student",233245.1,77
340,"Children,COVID-19,Elderly,Family,Fundraising,Individual,Migrant Workers,Single Parents,Special Needs,Student",2652.4,10
343,"Children,Family,Food,Fundraising,Giving Circle,Homeless,Hope Beyond Borders,Living Expenses,New Start,Single Parents,Special Needs,Thematic Campaign",7776,12
344,"Accident,Children,COVID-19,Elderly,Families,Family,Food,Foreign Domestic Workers,Fundraising,GIC,Giving Circle,Giving Week,Homeless,Individual,Medical,Migrant Workers,New Start,Persons with disabilities,Single Parents,Special Needs,Student,Tuition Fees",561954.8,308
